SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
WI1-P6-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,611,8.933749468,51.00260877
AL1-P1-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,384,8.139428927,44.40756941
AL1-P2-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,534,8.683127611,48.32963137
AL1-P3-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,NA,NA,NA
AL1-P4-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,549,8.668338643,56.64454126
AL1-P5-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,505,8.571216762,45.99476229
AL1-P6-R,Wet,AL1-R,Rhizobiome,AL1,16.5,5.8,Wet-R,2.844827586,484,8.520310707,41.03561148
CO1-P1-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,960,9.524289639,74.16922284
CO1-P2-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,1051,9.635534315,84.37717082
CO1-P3-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,934,9.469321576,81.02406835
CO1-P4-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,902,9.389297344,81.5593814
CO1-P5-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,567,8.728265949,52.13426525
CO1-P6-R,Dry,CO1-R,Rhizobiome,CO1,6.52,6.2,Dry-R,1.051612903,928,9.436173096,76.85888837
IA1-P1-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,1166,9.807174921,93.71575414
IA1-P2-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,509,8.551252438,56.04920559
IA1-P3-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,520,8.568758486,53.06562934
IA1-P4-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,541,8.645976252,56.09719749
IA1-P5-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,491,8.483933161,53.89818962
IA1-P6-R,Wet,IA1-R,Rhizobiome,IA1,12.6,6.3,Wet-R,2,435,8.331185368,48.88845117
IL1-P1-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,955,9.491594273,79.26096617
IL1-P2-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,770,9.107470413,75.23141491
IL1-P3-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,819,9.259764386,75.39577858
IL1-P4-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,795,9.13973491,76.00998585
IL1-P5-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,690,8.623670018,71.03081092
IL1-P6-R,Wet,IL1-R,Rhizobiome,IL1,13.4,5.6,Wet-R,2.392857143,466,8.36105539,56.85292522
IN1-P1-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,1016,9.566338492,97.17723212
IN1-P2-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,859,9.28081008,78.73955649
IN1-P3-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,850,9.290663275,79.27199397
IN1-P4-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,1199,9.748792698,96.39851365
IN1-P5-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,699,8.997786207,70.91637985
IN1-P6-R,Wet,IN1-R,Rhizobiome,IN1,11.5,6.5,Wet-R,1.769230769,597,8.796421617,62.13701248
KS1-P1-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,850,9.298230159,80.23219181
KS1-P2-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,754,9.125583766,70.0609083
KS1-P3-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,623,8.891549013,57.68166683
KS1-P4-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,544,8.642572153,61.77010347
KS1-P5-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,611,8.824669759,63.06472366
KS1-P6-R,Mesic,KS1-R,Rhizobiome,KS1,12.8,7.8,Mesic-R,1.641025641,474,8.393383109,55.2907485
KS2-P1-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,644,8.726931171,69.80260701
KS2-P2-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,582,8.696222857,59.49988823
KS2-P3-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,615,8.733345633,66.53784466
KS2-P4-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,624,8.779709892,67.87958511
KS2-P5-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,513,8.524517395,59.49362735
KS2-P6-R,Dry,KS2-R,Rhizobiome,KS2,9.21,7.7,Dry-R,1.196103896,454,8.392808909,50.93195153
LA1-P1-R,Wet,LA1-R,Rhizobiome,LA1,16.7,8,Wet-R,2.0875,685,8.969707179,67.81171779
LA1-P2-R,Wet,LA1-R,Rhizobiome,LA1,16.7,8,Wet-R,2.0875,708,8.999242046,67.09829479
LA1-P6-R,Wet,LA1-R,Rhizobiome,LA1,16.7,8,Wet-R,2.0875,619,8.71020202,61.17272141
MI1-P1-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,518,8.416084845,67.13630732
MI1-P2-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,561,8.618480556,66.23261758
MI1-P3-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,431,8.293072963,50.60904369
MI1-P4-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,974,9.462233287,97.44462998
MI1-P5-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,898,9.272028037,98.20989961
MI1-P6-R,Wet,MI1-R,Rhizobiome,MI1,11.1,6,Wet-R,1.85,913,9.254547109,96.31494659
MN1-P1-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,770,9.12905338,74.05238524
MN1-P2-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,815,9.200491922,77.68870606
MN1-P3-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,848,9.281581888,77.98976728
MN1-P4-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,723,9.056509181,68.90549373
MN1-P5-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,729,9.066862323,65.17025697
MN1-P6-R,Dry,MN1-R,Rhizobiome,MN1,9.71,5.8,Dry-R,1.674137931,727,9.052644404,71.71313612
MO1-P1-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,744,9.063652187,71.63286166
MO1-P2-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,618,8.7920904,59.05771806
MO1-P3-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,863,9.302951609,75.72692005
MO1-P4-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,748,9.083574137,70.19617415
MO1-P5-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,708,9.070091354,63.04517766
MO1-P6-R,Wet,MO1-R,Rhizobiome,MO1,12.8,6.5,Wet-R,1.969230769,769,9.161859175,67.88112236
