index,Ecotype,Location,Lat,Long,Sobs,Shannon,Faith
SD1-P5-S1-16s_S125,Dry,SD,45.102916,-103.07941,321,7.906189646,35.5813767
SD1-P6-S1-16s_S126,Dry,SD,45.102916,-103.07941,NA,NA,NA
TX1-P1-S1-16s_S60,Wet,TX1,33.736177,-95.98353,NA,NA,NA
TX1-P2-S1-16s_S61,Wet,TX1,33.736177,-95.98353,NA,NA,NA
TX1-P3-S1-16s_S62,Wet,TX1,33.736177,-95.98353,NA,NA,NA
TX1-P4-S1-16s_S63,Wet,TX1,33.736177,-95.98353,NA,NA,NA
TX1-P5-S1-16s_S64,Wet,TX1,33.736177,-95.98353,425,8.2945538,46.90436838
TX1-P6-S1-16s_S65,Wet,TX1,33.736177,-95.98353,922,9.429149264,80.1751503
TX2-P1-S1-16s_S72,Wet,TX2,29.383001,-95.04062,378,8.143537098,36.0393473
TX2-P2-S1-16s_S73,Wet,TX2,29.383001,-95.04062,381,8.127473751,40.7550612
TX2-P3-S1-16s_S74,Wet,TX2,29.383001,-95.04062,458,8.382018688,42.10400494
TX2-P4-S1-16s_S75,Wet,TX2,29.383001,-95.04062,422,8.298983797,50.44807697
TX2-P5-S1-16s_S76,Wet,TX2,29.383001,-95.04062,374,8.142338917,44.09010091
TX2-P6-S2-16s_S77,Wet,TX2,29.383001,-95.04062,417,8.312173539,43.288956
TX3-P1-S1-16s_S84,Dry,TX3,31.04998,-97.350096,457,8.460207692,45.29811606
TX3-P2-S1-16s_S85,Dry,TX3,31.04998,-97.350096,554,8.737221172,52.50345797
TX3-P3-S1-16s_S86,Dry,TX3,31.04998,-97.350096,481,8.511472714,49.90165024
TX3-P4-S1-16s_S87,Dry,TX3,31.04998,-97.350096,447,8.391803822,46.41844055
TX3-P5-S1-16s_S88,Dry,TX3,31.04998,-97.350096,553,8.800352819,48.823119
TX3-P6-S1-16s_S89,Dry,TX3,31.04998,-97.350096,581,8.80153463,54.40389055
WI1-P1-S1-16s_S13,Wet,WI,-97.3501,-88.628068,389,8.238928565,42.25936437
WI1-P2-S1-16s_S14,Wet,WI,-97.3501,-88.628068,404,8.239869152,43.95219043
WI1-P3-S1-16s_S15,Wet,WI,-97.3501,-88.628068,481,8.53315896,47.71679842
WI1-P4-S2-16s_S16,Wet,WI,-97.3501,-88.628068,393,8.280977028,37.47059359
WI1-P5-S1-16s_S17,Wet,WI,-97.3501,-88.628068,637,8.990434224,52.08553585
WI1-P6-S1-16s_S18,Wet,WI,-97.3501,-88.628068,611,8.933749468,51.00260877
