SubjectID1,SubjectID2,Group1,Group2,Distance,Group3,PR_Difference,PR_ABS
MO1-P5-S1-16s_S95,NE1-P4-S1-16s_S118,MO1,NE1,0.906066667,MO1NE1,1.3,1.3
MO1-P5-S1-16s_S95,NE1-P5-S1-16s_S119,MO1,NE1,0.901066667,MO1NE1,1.3,1.3
MO1-P5-S1-16s_S95,NE1-P6-S1-16s_S120,MO1,NE1,0.928333333,MO1NE1,1.3,1.3
MO1-P5-S1-16s_S95,NE2-P1-S1-16s_S133,MO1,NE2,0.9892,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NE2-P2-S1-16s_S134,MO1,NE2,0.9884,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NE2-P3-S1-16s_S135,MO1,NE2,0.984466667,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NE2-P4-S1-16s_S136,MO1,NE2,0.992866667,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NE2-P5-S1-16s_S137,MO1,NE2,0.9794,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NE2-P6-S1-16s_S138,MO1,NE2,0.986933333,MO1NE2,3.08,3.08
MO1-P5-S1-16s_S95,NM1-P1-S1-16s_S36,MO1,NM1,0.997466667,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,NM1-P2-S1-16s_S37,MO1,NM1,0.981733333,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,NM1-P3-S1-16s_S38,MO1,NM1,0.989466667,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,NM1-P4-S1-16s_S39,MO1,NM1,0.993,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,NM1-P5-S1-16s_S40,MO1,NM1,0.981466667,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,NM1-P6-S1-16s_S41,MO1,NM1,0.996933333,MO1NM1,6.1,6.1
MO1-P5-S1-16s_S95,OK1-P1-S2-16s_S48,MO1,OK1,0.988333333,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,OK1-P2-S2-16s_S49,MO1,OK1,0.995933333,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,OK1-P3-S1-16s_S50,MO1,OK1,0.989333333,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,OK1-P4-S1-16s_S51,MO1,OK1,0.992,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,OK1-P5-S1-16s_S52,MO1,OK1,0.9878,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,OK1-P6-S1-16s_S53,MO1,OK1,0.990333333,MO1OK1,2.8,2.8
MO1-P5-S1-16s_S95,SC1-P1-S1-16s_S97,MO1,SC1,0.928933333,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SC1-P2-S1-16s_S98,MO1,SC1,0.931666667,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SC1-P3-S1-16s_S99,MO1,SC1,0.961933333,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SC1-P4-S1-16s_S100,MO1,SC1,0.923,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SC1-P5-S1-16s_S101,MO1,SC1,0.944533333,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SC1-P6-S1-16s_S102,MO1,SC1,0.925866667,MO1SC1,-1.3,1.3
MO1-P5-S1-16s_S95,SD1-P1-S1-16s_S121,MO1,SD1,0.975533333,MO1SD1,5.72,5.72
MO1-P5-S1-16s_S95,SD1-P2-S1-16s_S122,MO1,SD1,0.975533333,MO1SD1,5.72,5.72
MO1-P5-S1-16s_S95,SD1-P5-S1-16s_S125,MO1,SD1,0.957733333,MO1SD1,5.72,5.72
MO1-P5-S1-16s_S95,TX1-P5-S1-16s_S64,MO1,TX1,0.923,MO1TX1,-2.2,2.2
MO1-P5-S1-16s_S95,TX1-P6-S1-16s_S65,MO1,TX1,0.917933333,MO1TX1,-2.2,2.2
MO1-P5-S1-16s_S95,TX2-P1-S1-16s_S72,MO1,TX2,0.9364,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX2-P2-S1-16s_S73,MO1,TX2,0.9194,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX2-P3-S1-16s_S74,MO1,TX2,0.9118,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX2-P4-S1-16s_S75,MO1,TX2,0.905266667,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX2-P5-S1-16s_S76,MO1,TX2,0.925666667,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX2-P6-S2-16s_S77,MO1,TX2,0.917066667,MO1TX2,-4.4,4.4
MO1-P5-S1-16s_S95,TX3-P1-S1-16s_S84,MO1,TX3,0.9822,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,TX3-P2-S1-16s_S85,MO1,TX3,0.981333333,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,TX3-P3-S1-16s_S86,MO1,TX3,0.981466667,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,TX3-P4-S1-16s_S87,MO1,TX3,0.982666667,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,TX3-P5-S1-16s_S88,MO1,TX3,0.984133333,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,TX3-P6-S1-16s_S89,MO1,TX3,0.981133333,MO1TX3,0.3,0.3
MO1-P5-S1-16s_S95,WI1-P1-S1-16s_S13,MO1,WI1,0.939133333,MO1WI1,1.1,1.1
MO1-P5-S1-16s_S95,WI1-P2-S1-16s_S14,MO1,WI1,0.9296,MO1WI1,1.1,1.1
MO1-P5-S1-16s_S95,WI1-P3-S1-16s_S15,MO1,WI1,0.935733333,MO1WI1,1.1,1.1
