SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
TX2-P6_S74,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
TX3-P1_S81,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
TX3-P2_S82,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
TX3-P3_S83,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
TX3-P4_S84,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
TX3-P5_S85,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
TX3-P6_S86,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.04998,-97.350096,12.5,1.67,TX3
WI1-P1_S19,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
WI1-P2_S20,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
WI1-P3_S3,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
WI1-P4_S4,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
WI1-P5_S21,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
WI1-P6_S22,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.3501,-88.628068,11.7,2.02,WI1
