"ASV","Comparison","t_stat","p_value"
"Armatimonadota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",7.50312463896916,2.05540898365919e-05
"Zixibacteria","Wet-Soil vs. Dry-Soil",NA,NA
"Zixibacteria","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Zixibacteria","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Zixibacteria","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Zixibacteria","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",1.63484888910025,0.24370325456712
"WS4","Wet-Soil vs. Dry-Soil",NA,NA
"WS4","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"WS4","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"WS4","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"WS4","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",2.15862928861926,0.276180647247855
"Aenigmarchaeota","Wet-Soil vs. Dry-Soil",NA,NA
"Aenigmarchaeota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Aenigmarchaeota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Aenigmarchaeota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Aenigmarchaeota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",1.82548476454294,0.319043494362715
"Synergistota","Wet-Soil vs. Dry-Soil",NA,NA
"Synergistota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Synergistota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Synergistota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Synergistota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Methylomirabilota","Wet-Soil vs. Dry-Soil",NA,NA
"Methylomirabilota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Methylomirabilota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Methylomirabilota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Methylomirabilota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Dadabacteria","Wet-Soil vs. Dry-Soil",NA,NA
"Dadabacteria","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Dadabacteria","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Dadabacteria","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Dadabacteria","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Hydrogenedentes","Wet-Soil vs. Dry-Soil",NA,NA
"Hydrogenedentes","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Hydrogenedentes","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Hydrogenedentes","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Hydrogenedentes","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Euryarchaeota","Wet-Soil vs. Dry-Soil",NA,NA
"Euryarchaeota","Wet-Rhizobiome vs. Dry-Rhizobiome",1.60213702074167,0.355233581317479
"Euryarchaeota","Dry-Soil vs. Dry-Rhizobiome",1.60213702074167,0.355233581317479
"Euryarchaeota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Euryarchaeota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
NA,"Wet-Soil vs. Dry-Soil",NA,NA
NA,"Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
NA,"Dry-Soil vs. Dry-Rhizobiome",NA,NA
NA,"Wet-Soil vs. Wet-Rhizobiome",NA,NA
NA,"Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Gemmatimonadota","Wet-Soil vs. Dry-Soil",NA,NA
"Gemmatimonadota","Wet-Rhizobiome vs. Dry-Rhizobiome",1.55067567567568,0.364635193056247
"Gemmatimonadota","Dry-Soil vs. Dry-Rhizobiome",1.55067567567568,0.364635193056247
"Gemmatimonadota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Gemmatimonadota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Nitrospinota","Wet-Soil vs. Dry-Soil",NA,NA
"Nitrospinota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Nitrospinota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Nitrospinota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Nitrospinota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Entotheonellaeota","Wet-Soil vs. Dry-Soil",NA,NA
