SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
NM1-P1-S1-16s_S36,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
NM1-P2-S1-16s_S37,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
NM1-P3-S1-16s_S38,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
NM1-P4-S1-16s_S39,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
NM1-P5-S1-16s_S40,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
NM1-P6-S1-16s_S41,NM,Dry,7.1,7.2,10,478,0.34,4.79,14,88,6,6,36.583429,-103.14577,6.7,0.943661972,NM1
OK1-P1-S2-16s_S48,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
OK1-P2-S2-16s_S49,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
OK1-P3-S1-16s_S50,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
OK1-P4-S1-16s_S51,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
OK1-P5-S1-16s_S52,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
OK1-P6-S1-16s_S53,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.694915254,OK1
SC1-P1-S1-16s_S97,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SC1-P2-S1-16s_S98,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SC1-P3-S1-16s_S99,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SC1-P4-S1-16s_S100,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SC1-P5-S1-16s_S101,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SC1-P6-S1-16s_S102,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.169230769,SC1
SD1-P1-S1-16s_S121,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
SD1-P2-S1-16s_S122,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
SD1-P3-S1-16s_S123,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
SD1-P4-S1-16s_S124,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
SD1-P5-S1-16s_S125,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
SD1-P6-S1-16s_S126,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.896202532,SD1
TX1-P1-S1-16s_S60,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX1-P2-S1-16s_S61,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX1-P3-S1-16s_S62,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX1-P4-S1-16s_S63,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX1-P5-S1-16s_S64,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX1-P6-S1-16s_S65,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.983529,15,2.5,TX1
TX2-P1-S1-16s_S72,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX2-P2-S1-16s_S73,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX2-P3-S1-16s_S74,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX2-P4-S1-16s_S75,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX2-P5-S1-16s_S76,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX2-P6-S2-16s_S77,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.040618,17.2,2.915254237,TX2
TX3-P1-S1-16s_S84,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
TX3-P2-S1-16s_S85,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
TX3-P3-S1-16s_S86,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
TX3-P4-S1-16s_S87,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
TX3-P5-S1-16s_S88,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
TX3-P6-S1-16s_S89,TX3,Dry,7.5,7.4,3,352,0.36,10.63,29.6,22,38,40,31.049976,-97.350096,12.5,1.666666667,TX3
WI1-P1-S1-16s_S13,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
WI1-P2-S1-16s_S14,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
WI1-P3-S1-16s_S15,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
WI1-P4-S2-16s_S16,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
WI1-P5-S1-16s_S17,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
WI1-P6-S1-16s_S18,WI,Wet,5.8,6.5,24,84,0.26,3.6,13.8,17,52,31,-97.350096,-88.628068,11.7,2.017241379,WI1
