ASV,Comparison,t_stat,p_value,Log2_Fold_Change
Deinococcota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Dependentiae,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Dependentiae,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Dependentiae,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Dependentiae,Wet-Soil vs. Dry-Soil,NA,NA,NA
Dependentiae,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Desulfobacterota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Desulfobacterota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,0.963358156
Elusimicrobiota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Elusimicrobiota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Elusimicrobiota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Elusimicrobiota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Entotheonellaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Entotheonellaeota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Entotheonellaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Entotheonellaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Euryarchaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Euryarchaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Euryarchaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
FCPU426,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
FCPU426,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
FCPU426,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
FCPU426,Wet-Soil vs. Dry-Soil,NA,NA,NA
FCPU426,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Fibrobacterota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Fibrobacterota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Fibrobacterota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,-0.593374741
Fusobacteriota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Fusobacteriota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Fusobacteriota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Fusobacteriota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Fusobacteriota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
GAL15,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
GAL15,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
GAL15,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
GAL15,Wet-Soil vs. Dry-Soil,NA,NA,NA
GAL15,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Gemmatimonadota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Gemmatimonadota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Gemmatimonadota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Halobacterota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Halobacterota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,-0.186596033
Halobacterota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Halobacterota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,0.233559512
Hydrogenedentes,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Hydrogenedentes,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Hydrogenedentes,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Hydrogenedentes,Wet-Soil vs. Dry-Soil,NA,NA,NA
Hydrogenedentes,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Iainarchaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Iainarchaeota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Iainarchaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Iainarchaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Iainarchaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Latescibacterota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Latescibacterota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Latescibacterota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Latescibacterota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Latescibacterota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Margulisbacteria,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Margulisbacteria,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Margulisbacteria,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Margulisbacteria,Wet-Soil vs. Dry-Soil,NA,NA,NA
Margulisbacteria,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
MBNT15,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
MBNT15,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
MBNT15,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
MBNT15,Wet-Soil vs. Dry-Soil,NA,NA,NA
MBNT15,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Methylomirabilota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Methylomirabilota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Methylomirabilota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Methylomirabilota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Methylomirabilota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
NA,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
NA,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
NA,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
NA,Wet-Soil vs. Dry-Soil,NA,NA,NA
NA,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Nanoarchaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Nanoarchaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
NB1-j,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
NB1-j,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
NB1-j,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
NB1-j,Wet-Soil vs. Dry-Soil,NA,NA,NA
NB1-j,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Nitrospinota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Nitrospinota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Nitrospinota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Nitrospinota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Nitrospinota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Nitrospirota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Nitrospirota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Nitrospirota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Nitrospirota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Nitrospirota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
RCP2-54,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
RCP2-54,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
RCP2-54,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
RCP2-54,Wet-Soil vs. Dry-Soil,NA,NA,NA
RCP2-54,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
SAR324_clade(Marine_group_B),Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
SAR324_clade(Marine_group_B),Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
SAR324_clade(Marine_group_B),Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
SAR324_clade(Marine_group_B),Wet-Soil vs. Dry-Soil,NA,NA,NA
SAR324_clade(Marine_group_B),Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Spirochaetota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Spirochaetota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Sumerlaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
